Topic,Word
0,"['site' 'say' 'service' 'company' 'car' 'cost' 'tenant' 'year' 'energy'
 'get' 'housing' 'plant' 'grow' 'solution' 'good' 'com' 'business' 'hire'
 'offer' 'barley' 'installation' 'instal' 'datum' 'power' 'tour'
 'state_government' 'precinct' 'contract' 'produce' 'planet' 'travel'
 'purchase' 'malt' 'retail' 'industrial' 'government' 'spend' 'innovative'
 'see' 'day' 'wholesale' 'market' 'plan' 'separation' 'delay' 'city'
 'capacity' 'operator' 'large' 'rohrsheim' 'hour' 'start' 'deliver' 'time'
 'include' 'late' 'soon' 'place' 'set' 'go' 'option' 'continue' 'many'
 'island' 'range' 'customer' 'trade' 'home' 'booking' 'fee' 'system'
 'little' 'distributor' 'australian' 'applaud' 'visit' 'light' 'recommend'
 'state' 'exist' 'hotel' 'make' 'destination' 'former' 'turnover' 'detail'
 'major' 'yesterday' 'accommodation' 'bank' 'price' 'generate' 'great'
 'bill' 'provide' 'battery' 'facility' 'commercial' 'area' 'buy']"
1,"['goal' 'southern' 'lead' 'kick' 'opening' 'cycling' 'south' 'area'
 'quarter' 'football' 'rack' 'good' 'sabre' 'change' 'vansittart'
 'football_league' 'gold' 'time' 'eagle' 'roo' 'lion' 'eastern' 'group'
 'assist' 'wattle' 'luncheon' 'campaigner' 'silver' 'damian' 'reappointe'
 'head' 'flinder' 'list' 'plain' 'zone' 'amazing' 'regain' 'tour' 'choose'
 'squad' 'approach' 'hard' 'golden_grove' 'candidate' 'brand' 'impressed'
 'official' 'follow' 'overcome' 'experience' 'hamper' 'kntfl' 'pursuit'
 'youthful' 'overall' 'elude' 'optimism' 'municipality' 'representative'
 'committee' 'wind' 'decorate' 'key' 'train' 'even' 'participate' 'member'
 'short' 'education' 'school' 'use' 'force' 'produce' 'festival' 'house'
 'function' 'bombard' 'heinju' 'deficit' 'finalise' 'melrose'
 'cooperative' 'serie' 'goal_kicke' 'kicker' 'fluctuate' 'landmark'
 'gilling' 'trounce' 'anthony_richardson' 'ruck' 'lift' 'secondary'
 'control' 'fortune' 'storm' 'mark' 'steal' 'medal' 'contribute']"
2,"['last' 'goal' 'first' 'year' 'huddle' 'half' 'kick' 'ball' 'crow'
 'season' 'play' 'old' 'microscope' 'hawthorn' 'line' 'look' 'second'
 'team' 'miss' 'quarter' 'unable' 'hawk' 'wing' 'shake' 'hint' 'rite'
 'premiership' 'lay' 'silkiness' 'night' 'mostly' 'month' 'really' 'get'
 'match' 'metre' 'tag' 'crowd' 'tell' 'mark' 'player' 'lose' 'story'
 'stand' 'forward' 'touch' 'brown' 'massage' 'snatch' 'tale' 'time'
 'confidence' 'forecast' 'even' 'barely' 'beat' 'air' 'minute'
 'preparation' 'almost' 'arrive' 'acute' 'adelaide' 'point' 'game'
 'reason' 'drop' 'clean' 'rare' 'busy' 'repeatedly' 'human' 'personal'
 'back' 'roll' 'full' 'away' 'many' 'fifth' 'gain' 'pocket' 'roughead'
 'imaginary' 'atrociously' 'longitudinal' 'unsettled' 'coolly' 'angle'
 'surprising' 'leg' 'improvise' 'mild' 'crispness' 'slip' 'except' 'mad'
 'possession' 'luke' 'punt' 'sorely']"
3,"['tip' 'er' 'development' 'return' 'entertainment' 'year' 'reception'
 'round' 'factor' 'crocodile' 'basket' 'go' 'intellectual' 'king'
 'demetri' 'wildcat' 'nbl' 'cairns_taipan' 'mark' 'lexi' 'outdoor'
 'gladstone' 'rawson' 'reign' 'rob' 'excitement' 'equity' 'arena_pm_round'
 'tab_title_odd' 'sydney_king' 'croc' 'darnell_lazare' 'room' 'huge'
 'light' 'back' 'straight' 'public' 'boost' 'tiger' 'able' 'crowd'
 'centre' 'new' 'playoff' 'ball' 'great' 'extinction' 'new_zealand'
 'feature' 'estimate' 'last' 'huon' 'vickerman' 'warne' 'tragardh'
 'perth_wildcat' 'jarrid' 'heal' 'townsville' 'rhy' 'douse' 'wollongong'
 'cook' 'dark' 'party' 'goldendale' 'attraction' 'corporate' 'become'
 'area' 'watch' 'draw' 'sally' 'semi_final' 'impact' 'pre_season' 'game'
 'cate' 'regan' 'end' 'spend' 'number' 'worldwide' 'drill' 'powerhouse'
 'category' 'potential' 'facilitate' 'introduction' 'gas' 'prize' 'museum'
 'total' 'emerge' 'scientific' 'lose' 'vector' 'fate' 'byda']"
4,"['say' 'test' 'rock' 'first' 'yesterday' 'make' 'get' 'take' 'bowl'
 'tomorrow' 'bowling' 'australian' 'wicket' 'terrace' 'play' 'attack'
 'come' 'time' 'medium' 'lot' 'selector' 'right' 'bit' 'class' 'adelaide'
 'possibly' 'decision' 'fast_bowler' 'bowler' 'short' 'pace' 'ensure'
 'luggage' 'see' 'bite' 'aggression' 'probably' 'captain' 'think' 'feel'
 'swing' 'pressure' 'short_pitche' 'ground' 'playoff' 'still' 'session'
 'brad_william' 'indian' 'day' 'haul' 'go' 'future' 'favourite' 'thing'
 'guy' 'give' 'admit' 'model' 'heat' 'different' 'length' 'chairman'
 'morning' 'catch' 'stuff' 'fever' 'plan' 'match' 'long' 'rest' 'mix'
 'selection' 'grow' 'need' 'baseball_league' 'th' 'western' 'style'
 'bounce' 'batsman' 'man' 'monster' 'ready' 'green' 'create' 'enough'
 'delivery' 'flight' 'leave' 'official' 'select' 'pick' 'difficult' 'put'
 'series' 'tend' 'substantial' 'signature' 'suit']"
5,"['tea' 'wine' 'restaurant' 'pm' 'garden' 'glass' 'hotel'
 'unearthly_delight' 'bar' 'course' 'theatre' 'street' 'road' 'show'
 'night' 'main' 'room' 'lunch' 'comedy' 'cafe' 'blue' 'art' 'time' 'big'
 'entry' 'city' 'special' 'late' 'south' 'centre' 'live' 'tour' 'dining'
 'holden_street_theatre' 'worker' 'club' 'guest' 'gluttony_carry' 'feast'
 'town' 'studio' 'high' 'rhino_room' 'international' 'roll' 'old' 'jazz'
 'day' 'table' 'song' 'man' 'luxury' 'beer' 'queen' 'life'
 'bakehouse_theatre' 'north' 'point' 'lounge' 'light' 'pub' 'tale'
 'higher_ground' 'little' 'hop' 'castle' 'spare' 'world' 'modern' 'magic'
 'hour' 'meal' 'patience' 'bus' 'variety' 'weekend' 'love' 'hasting'
 'present' 'great' 'meet' 'butterfly' 'phone' 'chat' 'coder' 'flame'
 'tuxedo_cat_blue' 'unearthly_delights_le' 'eat' 'play' 'stuff' 'peep'
 'burst' 'extra' 'upstairs' 'advance' 'tribute' 'colour' 'stranger'
 'forest']"
6,"['limit' 'group' 'limited' 'company' 'australian' 'resource' 'tax'
 'investment' 'hold' 'service' 'energy' 'report' 'liberal' 'corporation'
 'mining' 'international' 'trading' 'capital' 'management' 'labor'
 'property' 'payable' 'finance' 'financial' 'fund' 'profit' 'independent'
 'pay' 'power' 'include' 'construction' 'medium' 'food' 'trust' 'datum'
 'network' 'system' 'note' 'gas' 'global' 'infrastructure' 'large'
 'industry' 'page' 'acquisition' 'year' 'supply' 'offshore' 'terrorist'
 'plantation' 'chemical' 'information' 'raid' 'retailer' 'treble' 'asset'
 'northern' 'development' 'export' 'stride' 'terror' 'link' 'accuse'
 'assessment' 'federal_government' 'enterprise' 'tower' 'distribution'
 'deal' 'rental' 'water' 'premier' 'kwh' 'gold' 'compare' 'consist'
 'engineering' 'save' 'commissioner' 'agency' 'result' 'family' 'shop'
 'leader' 'kennard' 'equity' 'partner' 'private' 'takeover' 'annual'
 'market' 'interlink' 'foil' 'peak' 'storage' 'consolidated' 'explosive'
 'super' 'boundary' 'agricultural']"
7,"['test' 'say' 'result' 'case' 'people' 'covid' 'restriction' 'get'
 'health' 'service' 'sa_pathology' 'personify_care' 'ease' 'new' 'symptom'
 'negative' 'authority' 'send' 'border' 'week' 'testing' 'alert' 'active'
 'state' 'check' 'surgery' 'ray' 'control' 'online' 'available' 'contact'
 'elective' 'flight' 'bring' 'daily' 'remain' 'cold' 'issue' 'tomorrow'
 'text' 'due' 'sore' 'innovation' 'care' 'police' 'much' 'detect'
 'process' 'second' 'warn' 'recover' 'manufacturing' 'regional' 'place'
 'urge' 'negative_result' 'mind' 'consecutive' 'digital' 'virus' 'trace'
 'come' 'coronavirus' 'quarantine' 'company' 'positive' 'develop' 'bomb'
 'security' 'peace' 'manually' 'portal' 'denpasar' 'critical_condition'
 'blitz' 'row' 'wave' 'soon' 'meanwhile' 'suspect' 'delay' 'roll'
 'explosive' 'protective' 'confirm' 'cabinet' 'wellbeing' 'equipment'
 'help' 'receive' 'ensure' 'concern' 'technology' 'increase' 'seasonal'
 'export' 'announce' 'availability' 'capability' 'facility']"
8,"['year' 'play' 'producer' 'see' 'director' 'say' 'write' 'last' 'artistic'
 'playwright' 'go' 'production' 'debut' 'gig' 'stage' 'fourth' 'film'
 'girl' 'end' 'first' 'writer' 'show' 'album' 'well' 'act' 'take' 'script'
 'punch' 'australian' 'musical' 'call' 'stump' 'bowl' 'batsman' 'career'
 'theatre' 'turn' 'also' 'open' 'make' 'effort' 'believe' 'touring'
 'month' 'pace' 'prize' 'learn' 'test' 'bit' 'urge' 'colour' 'raise' 'old'
 'place' 'performance' 'produce' 'thing' 'mcgrath' 'family' 'think' 'drop'
 'speed' 'hit' 'cast' 'leave' 'idea' 'much' 'young' 'tour' 'day' 'barely'
 'probably' 'mcgregor' 'national' 'buck' 'man' 'come' 'father' 'know'
 'conference' 'fund' 'time' 'schedule' 'good' 'opposition' 'pour' 'knock'
 'next' 'literary' 'follow' 'attack' 'get' 'need' 'start' 'romantic'
 'money' 'add' 'author' 'curator' 'songwriter']"
9,"['say' 'business' 'sport' 'merchandise' 'new' 'program' 'location' 'kid'
 'happen' 'create' 'sell' 'parent' 'ready_steady_go_kid' 'market' 'child'
 'franchise' 'brand' 'grown' 'untapped' 'drainage' 'buy' 'need' 'take'
 'use' 'mimic' 'introduce' 'multi' 'get' 'organise' 'suitable' 'pay'
 'textile' 'year' 'company' 'also' 'grow' 'pre' 'term' 'plan' 'minimise'
 'reason' 'football' 'number' 'revenue' 'product' 'past' 'schooler' 'see'
 'first' 'profit_organisation' 'condition' 'include' 'launch' 'website'
 'establish' 'booking' 'surprised' 'online' 'small' 'activity' 'few'
 'enrolment' 'next' 'nationally' 'fact' 'train' 'niche' 'size' 'double'
 'per_cent' 'add' 'power' 'perform' 'prototype' 'enrol' 'style' 'dog'
 'rory' 'derbyshire' 'pendlebury' 'steph' 'cocktail' 'luke_jamieson'
 'preiss' 'ecommerce' 'preschool' 'negotiate' 'park' 'week'
 'international' 'backyard' 'game' 'appear' 'tap' 'stage' 'soccer'
 'school' 'field' 'tapas' 'interest']"
